NPI,PROVIDER_FIRST_NAME,PROVIDER_LAST_NAME,SPECIALTY,DEPARTMENT,KP_REGION,FACILITY,PROVIDER_TYPE,DEA_NUMBER,LICENSE_STATE,HIRE_DATE,STATUS,PANEL_SIZE,ACCEPTS_NEW_PATIENTS
1002090065,Angela,Young,Gastroenterology,Gastroenterology,CO,Rock Creek Medical Office,MD,DEA5407641,MD,2005-05-04,ACTIVE,1750,N
1365096823,Jennifer,Lopez,OB/GYN,OB/GYN,HI,Maui Lani Medical Office,MD,DEA4589383,WA,2018-03-11,ACTIVE,1467,Y
1277696701,Kimberly,Collins,Urology,Urology,CO,Skyline Medical Center,DO,DEA2692123,CA,2018-05-22,INACTIVE,612,N
1239982893,Nicole,Hall,Radiology,Radiology,SCAL,Fontana Medical Center,MD,DEA8608844,WA,2019-06-07,ACTIVE,909,Y
1606508608,Richard,Baker,Orthopedics,Orthopedics,MAS,Capitol Hill Medical Center,NP,DEA1061220,OR,2015-06-27,INACTIVE,1860,Y
1688254064,Kenneth,Reyes,Gastroenterology,Gastroenterology,NCAL,Santa Clara Medical Center,PhD,DEA1150876,MD,2006-06-10,ACTIVE,147,Y
1860604512,Shirley,Miller,Radiology,Radiology,MAS,Tysons Corner Medical Center,DO,DEA1765145,WA,2005-11-11,ACTIVE,846,Y
1403166410,Pamela,Anderson,Oncology,Oncology,MAS,Capitol Hill Medical Center,LCSW,DEA1406393,VA,2010-04-29,ON_LEAVE,1520,Y
1361569534,Shirley,Lopez,Neurology,Neurology,NCAL,Oakland Medical Center,LCSW,DEA8227357,DC,2016-11-30,ACTIVE,1759,Y
1975615679,Robert,Moore,Pulmonology,Pulmonology,MID,Burke Medical Center,MD,DEA2368927,DC,2011-08-19,ACTIVE,2315,N
1883058830,Anthony,Edwards,Oncology,Oncology,HI,Maui Lani Medical Office,RN,DEA6537174,WA,2014-06-21,ACTIVE,2301,N
1250296304,Gregory,Perez,Oncology,Oncology,HI,Maui Lani Medical Office,NP,DEA7918084,DC,2012-12-20,ACTIVE,1838,Y
1968476891,Brenda,Taylor,Nephrology,Nephrology,NW,Interstate Medical Office,NP,DEA6312245,HI,2015-11-18,ACTIVE,1405,Y
1878030867,Matthew,Wilson,Nephrology,Nephrology,CO,Rock Creek Medical Office,DO,DEA7995802,VA,2023-04-12,ACTIVE,1335,N
1444357623,Michael,Scott,Urology,Urology,CO,Skyline Medical Center,MD,DEA6363167,HI,2019-03-23,ACTIVE,1423,Y
1943238225,Christopher,Johnson,Orthopedics,Orthopedics,HI,Moanalua Medical Center,PhD,DEA4301320,MD,2007-01-02,INACTIVE,666,N
1957814515,Matthew,Moore,Neurology,Neurology,HI,Maui Lani Medical Office,MD,DEA7988875,GA,2015-08-03,ACTIVE,1563,N
1218722364,Joshua,Edwards,OB/GYN,OB/GYN,HI,Maui Lani Medical Office,LCSW,DEA1473763,CA,2015-03-11,ACTIVE,893,Y
1249411523,Pamela,Gonzalez,Cardiology,Cardiology,NW,Westside Medical Center,DO,DEA1959385,CO,2007-06-02,ACTIVE,1555,Y
1245309822,Jeffrey,Edwards,Internal Medicine,Internal Medicine,HI,Maui Lani Medical Office,NP,DEA1360281,GA,2012-07-20,ACTIVE,403,N
1095174611,Emily,Lewis,Radiology,Radiology,HI,Maui Lani Medical Office,MD,DEA9823078,HI,2017-01-07,ACTIVE,250,N
1516541895,Raymond,Diaz,Nephrology,Nephrology,NW,Sunnyside Medical Center,PA,DEA5395922,WA,2008-02-24,INACTIVE,2415,Y
1189986768,Jonathan,Morales,Surgery,Surgery,HI,Moanalua Medical Center,MD,DEA6278045,DC,2007-04-17,ACTIVE,1826,Y
1696036635,Anna,Morales,OB/GYN,OB/GYN,MAS,Capitol Hill Medical Center,MD,DEA5477773,MD,2021-07-18,ACTIVE,415,Y
1238470342,Deborah,Sanchez,Pediatrics,Pediatrics,SCAL,Downey Medical Center,PA,DEA4805229,CA,2020-03-03,ACTIVE,837,Y
1721991710,Gregory,Moore,Radiology,Radiology,NCAL,Santa Clara Medical Center,MD,DEA6602169,MD,2006-05-09,ACTIVE,1456,N
1030379248,Joshua,Cruz,Psychiatry,Psychiatry,NCAL,Sacramento Medical Center,MD,DEA5558337,VA,2007-10-29,ACTIVE,968,Y
1711399180,Emily,Lewis,Rheumatology,Rheumatology,NCAL,San Francisco Medical Center,NP,DEA6150592,DC,2006-07-11,ACTIVE,1440,N
1043649552,Carol,Robinson,ENT,ENT,NW,Interstate Medical Office,MD,DEA4669586,CA,2023-02-24,ACTIVE,2466,N
1559968471,Barbara,Jackson,Pediatrics,Pediatrics,GA,Town Center Medical Office,PhD,DEA6887983,OR,2013-04-23,ACTIVE,145,Y
1927445678,Ronald,Carter,Dermatology,Dermatology,MID,Mid-Atlantic Medical Center,RN,DEA6602731,GA,2008-03-04,ACTIVE,2220,Y
1276191854,Carol,Young,Radiology,Radiology,NW,Sunnyside Medical Center,LCSW,DEA6105171,GA,2022-02-24,ACTIVE,692,Y
1199630815,Linda,Morris,Psychiatry,Psychiatry,NW,Westside Medical Center,DO,DEA1209462,MD,2007-08-12,ACTIVE,2145,Y
1507505646,Steven,Evans,Surgery,Surgery,NW,Westside Medical Center,RN,DEA4495340,VA,2023-06-21,ACTIVE,1852,N
1645904588,Matthew,Allen,Radiology,Radiology,MID,Burke Medical Center,MD,DEA2972658,GA,2018-03-11,INACTIVE,1360,Y
1435525247,Carol,Baker,Pediatrics,Pediatrics,NCAL,San Francisco Medical Center,DO,DEA5741679,OR,2005-06-19,ACTIVE,1815,Y
1150339122,Sharon,Nelson,Cardiology,Cardiology,CO,Rock Creek Medical Office,MD,DEA5261595,VA,2021-05-16,ACTIVE,1884,Y
1649009564,Catherine,Gonzalez,Rheumatology,Rheumatology,NW,Sunnyside Medical Center,MD,DEA9864039,CO,2010-07-19,ACTIVE,1089,N
1166858739,Jessica,White,Oncology,Oncology,SCAL,Los Angeles Medical Center,MD,DEA8832441,VA,2018-02-10,ACTIVE,1704,Y
1742266683,Christopher,Mitchell,Internal Medicine,Internal Medicine,NW,Sunnyside Medical Center,NP,DEA3787964,OR,2019-01-30,ACTIVE,287,Y
1398682569,Steven,Evans,OB/GYN,OB/GYN,CO,Skyline Medical Center,DO,DEA1963907,WA,2015-01-20,ACTIVE,1460,Y
1110227610,George,Diaz,Dermatology,Dermatology,CO,Skyline Medical Center,NP,DEA4094902,MD,2018-09-21,ACTIVE,246,Y
1698010455,George,Adams,Emergency Medicine,Emergency Medicine,NCAL,Santa Clara Medical Center,LCSW,DEA7562851,GA,2018-03-09,ACTIVE,1245,Y
1407781001,Kimberly,Collins,Emergency Medicine,Emergency Medicine,SCAL,San Diego Medical Center,MD,DEA9207189,HI,2013-03-15,ACTIVE,156,Y
1671506467,Brian,Thomas,Gastroenterology,Gastroenterology,GA,Town Center Medical Office,PA,DEA5101670,MD,2018-02-25,ACTIVE,348,Y
1129818719,Brandon,Turner,Surgery,Surgery,MID,Mid-Atlantic Medical Center,RN,DEA8341415,MD,2020-03-27,ACTIVE,671,Y
1547233342,Betty,Anderson,Oncology,Oncology,MAS,Tysons Corner Medical Center,PhD,DEA8494321,MD,2016-03-10,ACTIVE,1578,Y
1660486899,Raymond,Sanchez,Gastroenterology,Gastroenterology,GA,Town Center Medical Office,MD,DEA2785394,VA,2021-10-27,ACTIVE,2281,N
1017251865,Katherine,Thompson,Ophthalmology,Ophthalmology,HI,Moanalua Medical Center,DO,DEA8056680,CA,2020-07-05,ACTIVE,1442,Y
1565511247,David,Walker,Pediatrics,Pediatrics,NW,Interstate Medical Office,RN,DEA8019308,OR,2005-11-20,ACTIVE,1401,Y
1773930052,Raymond,Jones,Surgery,Surgery,SCAL,Los Angeles Medical Center,MD,DEA9514550,CO,2017-10-10,ACTIVE,2417,Y
1591498817,Kevin,Collins,Pulmonology,Pulmonology,CO,Franklin Medical Center,MD,DEA3327708,MD,2012-07-21,INACTIVE,1010,N
1105007754,Anthony,Mitchell,Urology,Urology,NCAL,Santa Clara Medical Center,DO,DEA5424273,DC,2005-02-24,ACTIVE,266,Y
1934272870,Emily,White,Surgery,Surgery,CO,Franklin Medical Center,MD,DEA6957451,DC,2016-06-14,INACTIVE,1845,N
1480607757,Ronald,Jackson,Ophthalmology,Ophthalmology,NW,Westside Medical Center,LCSW,DEA1669046,VA,2009-06-04,ACTIVE,2200,Y
1581529020,Debra,Nguyen,Ophthalmology,Ophthalmology,MID,Mid-Atlantic Medical Center,PA,DEA4881962,GA,2023-01-05,ACTIVE,141,Y
1335394226,Catherine,Baker,Urology,Urology,NW,Sunnyside Medical Center,MD,DEA4781208,WA,2021-09-14,ON_LEAVE,291,Y
1906404114,Emma,Lee,Gastroenterology,Gastroenterology,CO,Rock Creek Medical Office,MD,DEA7827942,MD,2023-03-21,ACTIVE,647,N
1577528652,Justin,Hill,Nephrology,Nephrology,GA,Town Center Medical Office,MD,DEA2348340,HI,2009-02-20,ACTIVE,591,Y
1213034840,Jason,Morales,Gastroenterology,Gastroenterology,SCAL,Irvine Medical Center,MD,DEA6203913,HI,2022-02-06,ACTIVE,2163,Y
1552365179,Jack,Mitchell,ENT,ENT,SCAL,Riverside Medical Center,MD,DEA1999907,OR,2020-06-21,ACTIVE,2337,N
1742153951,Nancy,Flores,ENT,ENT,NW,Sunnyside Medical Center,RN,DEA2378449,HI,2008-02-27,ACTIVE,1047,Y
1393863983,Christine,Diaz,Pulmonology,Pulmonology,MID,Mid-Atlantic Medical Center,RN,DEA7467803,WA,2005-12-25,ACTIVE,449,N
1664921011,Stephanie,Morales,Rheumatology,Rheumatology,MAS,Capitol Hill Medical Center,LCSW,DEA1747899,MD,2005-02-06,ACTIVE,660,Y
1014292192,Patricia,Edwards,Emergency Medicine,Emergency Medicine,NW,Westside Medical Center,PA,DEA4216291,CO,2005-05-30,INACTIVE,307,N
1567363625,Brenda,Martinez,Emergency Medicine,Emergency Medicine,GA,Crescent Center,PhD,DEA8191024,HI,2005-08-10,ACTIVE,1345,Y
1493730049,Daniel,Wright,Nephrology,Nephrology,HI,Maui Lani Medical Office,MD,DEA7987345,WA,2009-11-26,ACTIVE,519,N
1826180941,Catherine,Stewart,OB/GYN,OB/GYN,HI,Maui Lani Medical Office,RN,DEA4076627,GA,2012-06-08,ACTIVE,2356,N
1240129239,Brian,Harris,Radiology,Radiology,MID,Burke Medical Center,MD,DEA2724185,CO,2015-01-07,ACTIVE,2232,Y
1642875991,Gary,Rivera,Internal Medicine,Internal Medicine,MAS,Tysons Corner Medical Center,DO,DEA6335322,WA,2012-05-17,ACTIVE,1317,Y
1585232078,Karen,Jones,Endocrinology,Endocrinology,HI,Moanalua Medical Center,RN,DEA5598384,CO,2021-09-21,ACTIVE,1010,Y
1303632444,Matthew,Jones,Surgery,Surgery,CO,Skyline Medical Center,NP,DEA6981911,VA,2020-03-04,ACTIVE,1609,Y
1745683879,David,Flores,Nephrology,Nephrology,HI,Moanalua Medical Center,NP,DEA9897012,GA,2011-07-14,ACTIVE,403,N
1439769586,Carolyn,Edwards,Internal Medicine,Internal Medicine,HI,Maui Lani Medical Office,MD,DEA9880218,HI,2020-01-21,ACTIVE,2464,N
1253803425,David,Sanchez,Radiology,Radiology,CO,Rock Creek Medical Office,MD,DEA2327148,DC,2007-12-06,ACTIVE,700,Y
1608652498,Jessica,Sanchez,OB/GYN,OB/GYN,HI,Maui Lani Medical Office,LCSW,DEA2953773,HI,2006-12-19,ACTIVE,1409,Y
1343617879,Mark,Harris,Internal Medicine,Internal Medicine,HI,Maui Lani Medical Office,MD,DEA6569742,DC,2011-07-26,INACTIVE,1701,Y
1239142235,James,Gomez,Gastroenterology,Gastroenterology,GA,Crescent Center,MD,DEA4291386,CA,2011-02-25,ACTIVE,506,Y
1814509419,Katherine,Lewis,Emergency Medicine,Emergency Medicine,MAS,Capitol Hill Medical Center,MD,DEA7493591,CA,2010-05-30,ACTIVE,591,N
1876393129,Katherine,Jones,Surgery,Surgery,NW,Westside Medical Center,PA,DEA9438897,DC,2009-12-28,ACTIVE,201,N
1380017265,Jack,Garcia,Oncology,Oncology,GA,Crescent Center,DO,DEA3679531,MD,2007-04-09,ACTIVE,459,Y
1030921629,Christine,Murphy,Pulmonology,Pulmonology,CO,Rock Creek Medical Office,PA,DEA6851893,CA,2014-02-05,ACTIVE,2240,Y
1321987434,Cynthia,Edwards,Neurology,Neurology,SCAL,San Diego Medical Center,PhD,DEA9133280,WA,2014-08-14,ACTIVE,1560,Y
1747071326,Jack,Allen,Emergency Medicine,Emergency Medicine,HI,Moanalua Medical Center,NP,DEA5819556,HI,2007-10-05,ACTIVE,1759,Y
1260077512,Larry,Flores,Urology,Urology,NW,Westside Medical Center,MD,DEA2266600,DC,2018-02-10,ACTIVE,2371,Y
1124874236,George,Turner,Dermatology,Dermatology,NW,Sunnyside Medical Center,RN,DEA8710943,MD,2007-11-29,ACTIVE,682,Y
1386586674,Debra,Williams,Emergency Medicine,Emergency Medicine,HI,Maui Lani Medical Office,NP,DEA2799194,WA,2019-02-28,ACTIVE,1519,Y
1631464973,Lisa,Robinson,Radiology,Radiology,GA,Crescent Center,MD,DEA8928450,HI,2006-04-16,ACTIVE,2231,Y
1669211822,Jack,Williams,Oncology,Oncology,GA,Crescent Center,PhD,DEA1078729,OR,2015-06-15,INACTIVE,2051,N
1133326035,Richard,Rodriguez,Neurology,Neurology,SCAL,Downey Medical Center,RN,DEA3162030,WA,2008-02-28,ACTIVE,1802,Y
1688171858,Daniel,Martinez,Ophthalmology,Ophthalmology,GA,Town Center Medical Office,MD,DEA2933009,VA,2008-01-31,ACTIVE,1809,N
1613650877,Gregory,Wilson,Orthopedics,Orthopedics,CO,Franklin Medical Center,PA,DEA4486852,WA,2016-01-18,ACTIVE,2414,N
1630163256,Dorothy,White,Emergency Medicine,Emergency Medicine,HI,Moanalua Medical Center,MD,DEA4401256,OR,2011-11-26,ACTIVE,1347,Y
1214687675,Andrew,Johnson,Pulmonology,Pulmonology,GA,Crescent Center,DO,DEA9810218,GA,2005-12-27,ACTIVE,881,Y
1470500117,Benjamin,Flores,Nephrology,Nephrology,SCAL,Riverside Medical Center,LCSW,DEA2512761,HI,2009-12-01,ACTIVE,1783,N
1836406711,Barbara,Cruz,Orthopedics,Orthopedics,MAS,Capitol Hill Medical Center,DO,DEA2433715,MD,2005-11-19,ACTIVE,2002,N
1659411048,Emily,Wilson,Endocrinology,Endocrinology,MAS,Capitol Hill Medical Center,RN,DEA8284776,MD,2010-10-23,ON_LEAVE,1975,N
1919144591,Samuel,Nelson,Radiology,Radiology,NCAL,Fremont Medical Center,DO,DEA2990728,VA,2017-04-26,ACTIVE,657,N
1632646970,Amanda,Roberts,Orthopedics,Orthopedics,MID,Mid-Atlantic Medical Center,RN,DEA2193569,VA,2007-09-12,ACTIVE,589,Y
1083718810,Cynthia,Nguyen,Ophthalmology,Ophthalmology,NW,Interstate Medical Office,RN,DEA1717342,OR,2007-10-08,INACTIVE,971,Y
1704279128,Gregory,Reyes,Oncology,Oncology,NW,Westside Medical Center,RN,DEA6331287,HI,2009-01-03,INACTIVE,348,Y
1836472606,Charles,Green,ENT,ENT,NCAL,Sacramento Medical Center,MD,DEA7994668,GA,2011-07-21,ACTIVE,919,Y
1397155456,Brenda,Hall,Cardiology,Cardiology,MAS,Tysons Corner Medical Center,LCSW,DEA6013725,OR,2019-05-06,ACTIVE,1094,N
1639877425,Nicole,Brown,Psychiatry,Psychiatry,NW,Westside Medical Center,PA,DEA9756233,CA,2015-03-19,INACTIVE,912,Y
1574790804,David,Gonzalez,Nephrology,Nephrology,GA,Crescent Center,RN,DEA8960863,VA,2022-09-11,ACTIVE,1437,Y
1689120985,Justin,Thomas,Internal Medicine,Internal Medicine,CO,Skyline Medical Center,PA,DEA1604726,CO,2018-11-04,ACTIVE,549,Y
1804344957,Helen,Morales,Pediatrics,Pediatrics,CO,Skyline Medical Center,MD,DEA6553181,HI,2017-11-22,ACTIVE,2060,N
1503307060,Amy,Martinez,Ophthalmology,Ophthalmology,NW,Sunnyside Medical Center,MD,DEA9594169,OR,2018-02-03,ACTIVE,1530,Y
1601551635,Katherine,Gomez,Internal Medicine,Internal Medicine,NW,Interstate Medical Office,NP,DEA6211344,DC,2017-10-02,ACTIVE,1401,Y
1233791614,Alexander,Martin,Oncology,Oncology,NW,Sunnyside Medical Center,PA,DEA3411302,DC,2021-04-25,ACTIVE,1711,Y
1435759057,Catherine,Morales,Orthopedics,Orthopedics,GA,Town Center Medical Office,RN,DEA1320707,CA,2017-11-27,ACTIVE,169,N
1064277511,Nicholas,Mitchell,Endocrinology,Endocrinology,CO,Rock Creek Medical Office,PA,DEA4313480,GA,2007-02-02,ACTIVE,2181,Y
1299503894,Mary,Rivera,OB/GYN,OB/GYN,MID,Burke Medical Center,MD,DEA4255230,DC,2022-11-27,ACTIVE,2418,Y
1066476315,Lisa,Edwards,Internal Medicine,Internal Medicine,SCAL,Irvine Medical Center,LCSW,DEA1849274,HI,2021-08-20,ACTIVE,124,Y
1260996331,Alexander,Wright,Emergency Medicine,Emergency Medicine,CO,Rock Creek Medical Office,MD,DEA2379216,MD,2021-05-11,ACTIVE,208,N
1837901793,Dorothy,Roberts,Pulmonology,Pulmonology,CO,Rock Creek Medical Office,RN,DEA6260380,CO,2015-07-08,ACTIVE,2448,Y
1040486626,Christine,Jones,Psychiatry,Psychiatry,CO,Rock Creek Medical Office,MD,DEA3303053,VA,2022-08-23,ACTIVE,651,Y
1947455979,Nicholas,Martinez,Nephrology,Nephrology,MID,Mid-Atlantic Medical Center,RN,DEA5470587,CO,2020-08-17,ACTIVE,930,Y
1138643820,Katherine,Martinez,Endocrinology,Endocrinology,MAS,Tysons Corner Medical Center,LCSW,DEA6507705,CO,2009-04-01,ACTIVE,2054,Y
1585159787,Larry,Williams,Gastroenterology,Gastroenterology,GA,Crescent Center,MD,DEA2969680,GA,2023-02-05,ACTIVE,2148,Y
1589222917,Justin,Wright,Radiology,Radiology,MID,Burke Medical Center,DO,DEA4293495,GA,2019-07-03,ACTIVE,1319,Y
1916863811,Rebecca,Martinez,ENT,ENT,MID,Burke Medical Center,NP,DEA9926408,WA,2010-11-24,INACTIVE,2198,N
1143762195,Debra,Campbell,Radiology,Radiology,MID,Mid-Atlantic Medical Center,MD,DEA5030212,CO,2006-04-21,ACTIVE,797,Y
1365796394,Barbara,Sanchez,Urology,Urology,HI,Moanalua Medical Center,MD,DEA3501708,CA,2016-01-10,ACTIVE,1525,N
1256430882,Jason,Clark,Rheumatology,Rheumatology,NCAL,Santa Clara Medical Center,DO,DEA4021342,WA,2023-01-19,ACTIVE,617,Y
1596606675,Timothy,Davis,Orthopedics,Orthopedics,NW,Interstate Medical Office,MD,DEA2757144,WA,2011-07-21,ACTIVE,1756,Y
1267641564,Jessica,Campbell,Emergency Medicine,Emergency Medicine,NCAL,Sacramento Medical Center,MD,DEA1120188,CA,2019-05-01,ACTIVE,2354,Y
1035219358,Mark,Thompson,Ophthalmology,Ophthalmology,MAS,Capitol Hill Medical Center,RN,DEA6408515,WA,2008-07-17,ACTIVE,2452,Y
1398218546,Karen,Jackson,Cardiology,Cardiology,NCAL,San Francisco Medical Center,PhD,DEA6182407,HI,2007-07-21,ACTIVE,635,Y
1377751942,Brian,Cruz,Internal Medicine,Internal Medicine,HI,Moanalua Medical Center,RN,DEA7346411,GA,2014-08-12,ACTIVE,2114,Y
1782807444,Stephen,Nguyen,Pulmonology,Pulmonology,MAS,Tysons Corner Medical Center,RN,DEA1945565,DC,2010-07-13,ACTIVE,1459,N
1594625668,Patricia,Gonzalez,Endocrinology,Endocrinology,CO,Rock Creek Medical Office,MD,DEA9008851,OR,2005-02-10,ACTIVE,1150,Y
1185843950,Nancy,King,Rheumatology,Rheumatology,SCAL,Los Angeles Medical Center,NP,DEA3062060,CA,2012-08-24,ACTIVE,2477,Y
1245222243,Brenda,Jackson,Orthopedics,Orthopedics,CO,Franklin Medical Center,MD,DEA4226317,DC,2014-04-02,ACTIVE,1233,N
1773927635,Edward,Ramirez,Internal Medicine,Internal Medicine,NCAL,Walnut Creek Medical Center,DO,DEA9503359,GA,2018-12-14,ACTIVE,2351,Y
1677703088,Brenda,Carter,Orthopedics,Orthopedics,HI,Maui Lani Medical Office,PA,DEA9090544,MD,2011-03-06,ACTIVE,182,Y
1905545563,Joshua,Murphy,Internal Medicine,Internal Medicine,SCAL,Fontana Medical Center,DO,DEA1375631,MD,2009-12-18,ACTIVE,169,N
1384178188,Samantha,Morales,Pediatrics,Pediatrics,CO,Skyline Medical Center,MD,DEA6395916,CA,2007-05-23,ACTIVE,2041,Y
1906226676,Katherine,Adams,Orthopedics,Orthopedics,MAS,Tysons Corner Medical Center,NP,DEA2401268,DC,2020-04-02,ON_LEAVE,1394,Y
1555643092,Kimberly,Gomez,Nephrology,Nephrology,SCAL,San Diego Medical Center,PA,DEA4109144,MD,2023-11-04,ACTIVE,1145,N
1998765330,Pamela,Brown,Radiology,Radiology,GA,Crescent Center,MD,DEA4693471,HI,2008-06-21,ACTIVE,2128,N
1256037699,Gregory,Lopez,Oncology,Oncology,NCAL,Santa Clara Medical Center,MD,DEA6765920,CA,2017-12-11,ON_LEAVE,2064,Y
1359113576,Anna,Ramirez,Nephrology,Nephrology,NCAL,Oakland Medical Center,RN,DEA7012482,WA,2018-10-26,ACTIVE,368,Y
1872666124,Michael,Thomas,Surgery,Surgery,MAS,Capitol Hill Medical Center,PA,DEA5368427,CO,2009-01-16,ACTIVE,1300,N
1209841721,Jack,Johnson,Pediatrics,Pediatrics,HI,Maui Lani Medical Office,MD,DEA1194319,CO,2012-03-13,ACTIVE,1305,N
1812857415,Jason,Hill,Dermatology,Dermatology,MID,Burke Medical Center,LCSW,DEA8911891,HI,2005-12-18,ACTIVE,1924,Y
1775152121,Kenneth,Scott,Ophthalmology,Ophthalmology,HI,Moanalua Medical Center,NP,DEA4676970,GA,2017-05-15,ACTIVE,1406,Y
1340536146,Stephanie,Hernandez,Orthopedics,Orthopedics,CO,Rock Creek Medical Office,MD,DEA1326553,CO,2017-03-09,ACTIVE,1067,Y
1914837076,Edward,Stewart,Pulmonology,Pulmonology,MAS,Tysons Corner Medical Center,MD,DEA2234896,WA,2011-08-06,ACTIVE,1099,Y
1476002746,Jessica,Davis,Urology,Urology,MID,Burke Medical Center,LCSW,DEA9168041,MD,2009-11-04,ACTIVE,1102,N
1122939012,Steven,Parker,Oncology,Oncology,GA,Town Center Medical Office,NP,DEA7295874,OR,2015-12-03,ACTIVE,505,Y
1380633658,Samuel,Lee,Orthopedics,Orthopedics,NW,Sunnyside Medical Center,MD,DEA4188361,OR,2014-09-02,ACTIVE,2045,Y
1535222701,Sarah,Garcia,Orthopedics,Orthopedics,SCAL,Irvine Medical Center,LCSW,DEA9428724,DC,2022-10-06,ACTIVE,1855,Y
1647075516,Daniel,Jackson,Nephrology,Nephrology,HI,Moanalua Medical Center,MD,DEA7923603,OR,2016-12-02,ACTIVE,785,Y
1057362293,Deborah,Clark,Surgery,Surgery,MID,Burke Medical Center,NP,DEA2656639,WA,2006-06-15,ACTIVE,965,N
1943518878,Linda,Martinez,Oncology,Oncology,NCAL,Oakland Medical Center,PhD,DEA9267272,MD,2005-07-07,ACTIVE,1514,N
1656623742,Sarah,Nelson,Radiology,Radiology,SCAL,San Diego Medical Center,NP,DEA8485665,OR,2022-06-04,ACTIVE,865,Y
1896663513,Jennifer,Diaz,Dermatology,Dermatology,GA,Crescent Center,MD,DEA6224987,MD,2020-01-28,ACTIVE,2305,N
1063303947,Brandon,Hill,Surgery,Surgery,NW,Sunnyside Medical Center,NP,DEA9154969,HI,2023-03-09,ACTIVE,1496,Y
1947377764,Jason,Davis,Psychiatry,Psychiatry,HI,Moanalua Medical Center,RN,DEA7714840,OR,2020-09-03,ACTIVE,2296,Y
1584131665,Nicholas,Davis,Pulmonology,Pulmonology,CO,Franklin Medical Center,MD,DEA1927501,WA,2015-11-12,ACTIVE,652,N
1770782058,Karen,White,Radiology,Radiology,NW,Sunnyside Medical Center,NP,DEA3964213,CA,2018-12-04,ACTIVE,1885,Y
1877876441,Betty,Campbell,Emergency Medicine,Emergency Medicine,MAS,Capitol Hill Medical Center,LCSW,DEA3780538,DC,2019-06-01,ACTIVE,1212,N
1782814130,Gary,Roberts,Pulmonology,Pulmonology,MID,Mid-Atlantic Medical Center,PA,DEA6599115,VA,2020-02-03,ACTIVE,2362,Y
1806671901,Samuel,Ramirez,Rheumatology,Rheumatology,HI,Maui Lani Medical Office,PhD,DEA5778291,MD,2012-03-25,INACTIVE,1890,Y
1075755606,Brenda,Taylor,Pediatrics,Pediatrics,MAS,Capitol Hill Medical Center,MD,DEA4602210,OR,2009-10-02,ACTIVE,2498,Y
1424664013,Matthew,Jones,Orthopedics,Orthopedics,SCAL,Riverside Medical Center,MD,DEA5430844,HI,2023-09-04,ACTIVE,2224,Y
1182914633,Linda,Anderson,Orthopedics,Orthopedics,HI,Maui Lani Medical Office,MD,DEA2525272,OR,2011-10-10,ACTIVE,2406,Y
1416569421,David,Torres,Neurology,Neurology,HI,Maui Lani Medical Office,MD,DEA3708429,CA,2010-03-17,INACTIVE,405,Y
1662444955,Jennifer,Turner,Pulmonology,Pulmonology,SCAL,Fontana Medical Center,DO,DEA6086872,DC,2019-05-13,ACTIVE,717,Y
1773985135,Frank,Parker,Urology,Urology,NCAL,Walnut Creek Medical Center,PhD,DEA9588488,VA,2016-12-04,ACTIVE,593,Y
1112115230,Debra,Murphy,Urology,Urology,CO,Rock Creek Medical Office,MD,DEA8263194,GA,2017-08-13,ACTIVE,1580,Y
1951919297,Raymond,Johnson,Urology,Urology,NW,Sunnyside Medical Center,MD,DEA1634861,CO,2007-02-22,INACTIVE,2266,Y
1170080979,Karen,Morales,Pediatrics,Pediatrics,HI,Maui Lani Medical Office,MD,DEA7865461,VA,2006-10-29,ACTIVE,724,N
1007461092,Donna,Rodriguez,Surgery,Surgery,GA,Town Center Medical Office,RN,DEA7203241,CO,2012-08-18,ACTIVE,1807,Y
1888311341,Debra,Davis,Rheumatology,Rheumatology,HI,Maui Lani Medical Office,MD,DEA6149458,WA,2019-10-24,ACTIVE,1283,Y
1498501214,Robert,Taylor,Rheumatology,Rheumatology,SCAL,Riverside Medical Center,MD,DEA5184286,VA,2008-07-16,INACTIVE,1835,Y
1780017163,Christopher,Stewart,Psychiatry,Psychiatry,GA,Crescent Center,NP,DEA4029168,DC,2017-04-02,ACTIVE,758,Y
1773978320,Katherine,Walker,Endocrinology,Endocrinology,NCAL,Oakland Medical Center,MD,DEA6725474,HI,2011-04-28,ON_LEAVE,611,Y
1122443232,Carol,Martinez,Psychiatry,Psychiatry,MID,Burke Medical Center,MD,DEA2806183,HI,2009-08-17,ACTIVE,736,Y
1127381144,Brandon,Ramirez,Ophthalmology,Ophthalmology,GA,Crescent Center,MD,DEA7194052,DC,2016-08-04,ACTIVE,165,Y
1439672801,George,Brown,Cardiology,Cardiology,MID,Burke Medical Center,PhD,DEA9204662,WA,2005-09-04,ACTIVE,738,Y
1671301666,Emily,Young,ENT,ENT,NW,Sunnyside Medical Center,PA,DEA1338066,VA,2016-06-09,ACTIVE,1811,Y
1018504141,Kimberly,Thompson,OB/GYN,OB/GYN,MID,Burke Medical Center,MD,DEA3567718,WA,2018-10-02,INACTIVE,1831,Y
1175865637,Nicholas,Turner,Gastroenterology,Gastroenterology,MID,Burke Medical Center,PA,DEA3871885,DC,2019-10-18,ACTIVE,2149,N
1049016466,Brandon,Rodriguez,Pediatrics,Pediatrics,NCAL,Fremont Medical Center,PhD,DEA2344775,DC,2006-02-14,ACTIVE,197,Y
